"Feature";"Gain";"Cover";"Frequency"
"m_egresos";0,0398926342766891;0,00363455954955473;0,000885527515962299
"m_egreso_principal";0,0386759706762333;0,00232180110647884;0,000832319854058985
"m_egreso_principal__min_3";0,0364996987598152;0,00178241236139207;0,000680297962906659
"mcaja_ahorro";0,031923148322764;0,00545612185932993;0,00136249619945272
"m_egresos__min_3";0,0283375307940038;0,0039339577917504;0,000682198236546063
"mv_status07__tend_3";0,0201760249340374;0,000468681194044642;0,000364852538765582
"fl_fidelizacion_media__tend_6";0,0132932382170762;0,000379407892843129;0,000478868957129827
"mcuentas_saldo";0,0124659461813263;0,00531660078971722;0,00207129826695044
"m_egreso_principal__min_6";0,0111574393304832;0,000968282346709806;0,000558680449984798
"mcaja_ahorro__min_3";0,0108284768421713;0,00384384796236568;0,00119337184554576
"Visa_status__tend_6";0,0100955634438253;0,00029524037704595;0,000539677713590757
"mv_Finiciomora_delta1";0,00967594441662937;0,000843029914954859;0,000399057464274856
"mv_Finiciomora";0,00960403118493488;0,00280499160514672;0,00122377622377622
"m_egresos__min_6";0,00901323622768689;0,00133299914239114;0,000442763757981149
"cliente_antiguedad_delta1";0,00877312307891697;0,00508261243516062;0,000480769230769231
"ctarjeta_visa_transacciones";0,00692658261289545;0,00407664086500912;0,000857023411371237
"pc_egreso_principal__min_6";0,00688065770254279;0,000711224730890853;0,000898829431438127
"mdescubierto_preacordado__tend_6";0,00687996488622657;0,000642183371322079;0,000378154454241411
"pc_egreso_principal";0,00674741934456106;0,00108697453974968;0,00112876254180602
"ctarjeta_visa__tend_6";0,00662514049489032;0,000478539886749347;0,000167224080267559
"mcuenta_corriente__tend_3";0,00606567011994744;0,00175982516817599;0,00229933110367893
"Visa_Finiciomora";0,00596563340508261;0,00165805369351312;0,00103184858619641
"ctrx_quarter";0,00554123235215847;0,00310919103489892;0,0014480085132259
"cproductos__tend_3";0,00536503235810295;0,00433021826255048;0,00110215871085436
"cproductos__tend_6";0,00533137239367231;0,0040303239965177;0,00187176953481301
"m_adeuda";0,00493761149687259;0,0047950750613949;0,00153542110063849
"mcuenta_corriente";0,00476937420238819;0,00131299492875425;0,00197058376406202
"mdescubierto_preacordado";0,00468924799747803;0,000824722742434221;0,000216631194892064
"mdescubierto_preacordado__tend_12";0,00462424248405561;0,000905601776699595;0,00062519002736394
"ctrx_quarter__min_3";0,00372303463344561;0,00251359627448136;0,00114206445728185
"mv_Finiciomora__min_3";0,00359690080531287;0,00064432171488506;0,000545378534508969
"mtarjeta_visa_consumo";0,00358122207426508;0,00281366874522793;0,000661295226512618
"cpayroll_trx";0,00357213274063219;0,00486300351727082;0,000475068409851019
"mcuenta_corriente__tend_6";0,00344537336754544;0,00168749945166137;0,00236964122833688
"mpayroll";0,00342484143138114;0,00690674659378303;0,000714502888415932
"m_prestamos_totales_delta1";0,00333578458082723;0,00361151119372805;0,00159813013073883
"mv_Finiciomora__max_3";0,00312095114844224;0,000882251648083983;0,000678397689267254
"m_prestamos_totales__min_3";0,00304776425978082;0,00106218089080117;0,000866524779568258
"ctrx_quarter_delta1";0,00302584163818223;0,00567176332103813;0,0027059896625114
"mv_status06__tend_12";0,00294673310650396;0,000297288290474373;0,000395256916996047
"mdescubierto_preacordado__tend_3";0,00289721521805502;0,000642719341491672;0,00016342353298875
"ctrx_quarter__tend_3";0,00286831649937273;0,00282129013255729;0,00230693219823655
"fl_fidelizacion_media__min_6";0,00284032290262749;0,000160883034795085;4,75068409851019e-05
"mcuentas_saldo__tend_6";0,00277222644145507;0,00322310173104262;0,00221191851626634
"cliente_antiguedad__tend_12";0,00270613852933797;0,000270594817683621;0,000361051991486774
"cproductos__tend_12";0,00270026065287669;0,00141904114125246;0,00217581331711766
"mcuenta_corriente_delta1";0,00269887724372043;0,00154675219349495;0,00223092125266038
"mcaja_ahorro_lag1";0,00254492808067279;0,00214914842440484;0,0015392216479173
"pc_limite_saldo";0,00251080187136034;0,00224485670121095;0,00177675585284281
"mcaja_ahorro__min_6";0,00247578624150698;0,00207033431042231;0,00091403162055336
"m_adeuda__min_3";0,00244896037241534;0,00329358644144076;0,00128838552751596
"mcuenta_corriente__max_3";0,00244480221150457;0,00119744064160819;0,00211310428701733
"m_egresos_lag1";0,00244379758129154;0,000861517043725777;0,000786713286713287
"mprestamos_personales_delta1";0,00242055840704483;0,0024102773738202;0,00116106719367589
"mv_delinquency__tend_6";0,00237798703911289;0,00112081125865535;0,00103944968075403
"mv_Finiciomora__tend_3";0,00236814425040502;0,000773080892220425;0,0005130738826391
"ctrx_quarter__tend_6";0,00232660238986731;0,00290109016383629;0,00224422316813621
"mdescubierto_preacordado__min_6";0,00232086958474171;0,000352748094754156;0,000127318333840073
"m_egresos__min_12";0,00222930895035914;0,000820071537253318;0,000528276071754333
"ctrx_quarter__tend_12";0,00219780643944341;0,0041343847576392;0,00207699908786865
"ctarjeta_visa_transacciones__tend_3";0,0021431618332246;0,00785946608666368;0,00148031316509577
"mpasivos_margen";0,00206291728307563;0,00345865256916131;0,0023297354819094
"mcuentas_saldo_delta1";0,00205904858770001;0,0049504820868202;0,00265278200060809
"mcuentas_saldo__min_3";0,00200550066104967;0,00129722203179779;0,00171404682274247
"mpayroll__min_3";0,00200261217495061;0,00230117393910961;0,000499771967163272
"m_prestamos_totales";0,00199229583037457;0,00304662196996247;0,000976740650653694
"mcuentas_saldo__min_6";0,00193886369493509;0,000821993453055956;0,00170454545454545
"fl_fidelizacion_media__min_3";0,00193511104412604;7,95214239728375e-05;4,94071146245059e-05
"cliente_antiguedad__tend_3";0,00192181850308307;0,0140548507364463;0,000663195500152022
"mprestamos_personales__tend_6";0,00189260693965219;0,000529156607849499;0,0010261477652782
"cliente_antiguedad__tend_6";0,001869807726871;0,00102775138979194;0,000290741866828823
"ctarjeta_visa";0,00183434718924394;0,000108623344205524;4,94071146245059e-05
"mpasivos_margen__tend_12";0,00181958651917674;0,00126665836960247;0,00179955913651566
"Visa_mpagominimo";0,00173405453487722;0,00271065399040515;0,00065749467923381
"mcuentas_saldo__tend_3";0,0016633752472604;0,00889432699136758;0,00217011249619945
"mv_delinquency";0,00163464820483077;0,000920426301392012;0,000110215871085436
"pc_limite_saldo__tend_6";0,00162921144009633;0,00518831150442439;0,00312975068409851
"mcuenta_corriente__tend_12";0,00162265602565758;0,00246854757491853;0,00252166311948921
"ccomisiones_mantenimiento__tend_12";0,00160966693774831;0,00178145596596083;0,00271549103070842
"mcuenta_debitos_automaticos";0,00160141401594103;0,00482226308899216;0,00157152629978717
"pc_limite_saldo__tend_12";0,00159766970913937;0,00306428384253509;0,00329507449072666
"mprestamos_personales__tend_3";0,00159620119376078;0,00277596251493181;0,00133779264214047
"m_prestamos_totales__tend_3";0,00155069389349494;0,00215852600958329;0,00140810276679842
"m_invierte";0,00153312470315554;0,00621818081260365;0,000934934630586804
"mcuentas_saldo__tend_12";0,00152101453919134;0,00140585969905181;0,0020522955305564
"thomebanking__tend_12";0,00150277100064796;0,00114601448463943;0,00343949528732137
"pc_limite_saldo__tend_3";0,00150205090382448;0,00349718902775934;0,00264708117968988
"pc_limite_saldo_delta1";0,00150066956504883;0,00371308002691789;0,00291121921556704
"internet__tend_12";0,00149570439845434;0,00159350078748351;0,00310504712678626
"Visa_Finiciomora__max_3";0,00149287359108365;0,00036533893014659;0,000495971419884463
"mcomisiones_mantenimiento__tend_12";0,00144728330556745;0,00305552796806306;0,00258247187595014
"mcaja_ahorro_delta1";0,00144025834838395;0,00141432894305047;0,00224992398905442
"mpayroll__tend_3";0,00141647051594415;0,00437363303281231;0,00112306172088781
"m_adeuda__min_12";0,00139061238078556;0,000974367551775202;0,00111166007905138
"mprestamos_personales";0,00137607505131277;0,00148724715916276;0,000870325326847066
"mcaja_ahorro__tend_6";0,00137257979855252;0,000978964657078666;0,00199528732137428
"mcaja_ahorro__max_3";0,00134816015321693;0,00196368859218042;0,00149551535421101
"m_adeuda__tend_3";0,00133675088415251;0,0010423801096538;0,00130168744299179
"mpasivos_margen__tend_6";0,00133564957242097;0,00157967268930658;0,00195158102766798
"ctarjeta_visa_debitos_automaticos__tend_12";0,00131712433602231;0,00183928308482534;0,00230503192459714
"ctrx_quarter__min_6";0,00131455527082441;0,00279234839316276;0,00119717239282457
"mcaja_ahorro__tend_3";0,00129712798364017;0,00127029868396646;0,00187366980845242
"m_prestamos_totales__min_6";0,00129280595637011;0,000679069684781163;0,000857023411371237
"mdescubierto_preacordado__min_3";0,00128502506019846;0,000557243682182843;0,000155822438431134
"mcuenta_corriente_lag1";0,00127892916443536;0,00112392947388882;0,00162283368805108
"mv_delinquency__tend_12";0,0012776891997126;0,00121968343189692;0,00126748251748252
"mtarjeta_visa_consumo__tend_3";0,00127410812282654;0,00136994690088074;0,0012104743083004
"ccomisiones_otras__tend_12";0,00126295356064526;0,00125843578149411;0,00259767406506537
"fl_fidelizacion_alta";0,00126132322996404;0,00587148608450138;0,000587184554575859
"fl_fidelizacion_media__tend_12";0,00125854472769239;0,000321096643639363;0,00067649741562785
"ctarjeta_visa_transacciones__min_3";0,00124238056654495;0,00119303419952814;0,000589084828215263
"pc_comisiones_limite";0,00123198491315639;0,00144612930301851;0,0023316357555488
"mactivos_margen__min_6";0,0012239174473494;0,000891726104531222;0,00152021891152326
"cproductos";0,00121882742892975;0,0024243775534173;0,00128458498023715
"mv_Finiciomora__max_6";0,00121880874491288;0,000950833992086894;0,000693599878382487
"mv_msaldopesos";0,00120992749378216;0,0012671759486388;0,000480769230769231
"mcuenta_debitos_automaticos__tend_12";0,00117423378732424;0,0015414886285525;0,00214920948616601
"mpayroll__min_6";0,00117322365442283;0,00157969574178699;0,000469367588932806
"mrentabilidad_anual";0,00117217783512025;0,00351982314520331;0,0025178625722104
"mrentabilidad_anual__max_12";0,00117053776546678;0,00390374881569672;0,00199148677409547
"mpasivos_margen__tend_3";0,00116806238131384;0,00113343277418716;0,00179575858923685
"mactivos_margen";0,00116153166393213;0,00149598526401446;0,00230693219823655
"mcaja_ahorro_dolares_delta1";0,00114939210422356;0,00223973017987448;0,00207509881422925
"ctarjeta_visa__tend_12";0,00114678577287278;0,000117940840381718;0,000288841593189419
"mactivos_margen__tend_3";0,00114523668534408;0,0021075427935954;0,00236013986013986
"mactivos_margen__min_3";0,00114251611692681;0,00107721704065384;0,00184706597750076
"mactivos_margen_delta1";0,00114174283854466;0,00150567281465257;0,00259007297050775
"pc_comisiones_limite__tend_12";0,00112307528967217;0,00100649909339506;0,00257677105503192
"cproductos_delta1";0,00111375441366176;0,00103332486369288;0,00061568865916692
"cliente_edad";0,00111085942446712;0,00371505892415802;0,00242284889024019
"mrentabilidad__tend_3";0,00110202710918608;0,00218649892328753;0,00235063849194284
"mrentabilidad__tend_6";0,00110008525022852;0,00144493209956885;0,00234873821830344
"mpayroll__tend_6";0,00109106044308405;0,00140175695080072;0,00106985405898449
"mcuenta_corriente__min_6";0,0010843588773875;0,000914530968533544;0,00166273943447856
"mactivos_margen_lag1";0,00108111736167244;0,00113820559815259;0,00228222864092429
"mrentabilidad_anual_lag1";0,00107921800326489;0,00191339743086492;0,0022860291882031
"pc_comisiones_productos__max_12";0,00107885148450856;0,0010263998251254;0,00222141988446336
"ctarjeta_visa_transacciones__tend_12";0,00107661159150155;0,00137427983492889;0,00151451809060505
"Master_fultimo_cierre__tend_12";0,001062721156159;0,00113577299645728;0,00222141988446336
"mvr_msaldopesos2__min_12";0,00106119467914941;0,00110785378712224;0,00224422316813621
"mpagomiscuentas";0,00105974476927011;0,00333770306932927;0,0009330343569474
"mv_mpagominimo";0,00105857290102983;0,00187755960975637;0,000547278808148373
"cliente_edad__min_12";0,00105668265759299;0,00216756088686972;0,00238864396473092
"mactivos_margen__tend_6";0,0010538014196712;0,00148516783107965;0,00211120401337793
"Master_Fvencimiento";0,0010418332551827;0,00105748716848421;0,00232593493463059
"mv_Finiciomora_lag1";0,0010355570614432;0,00120185914668963;0,00105085132259045
"pc_comisiones_limite_delta1";0,00103514407721112;0,00290902100811472;0,00242854971115841
"Visa_msaldopesos";0,00103445558766474;0,0014119436610913;0,000621389480085132
"chomebanking_transacciones";0,00103215417387903;0,00275887879065778;0,00193257829127394
"mactivos_margen__min_12";0,00103118402928928;0,000759661156303743;0,00180906050471268
"ctarjeta_visa_transacciones__tend_6";0,00102895368223943;0,0013208138159495;0,0013510945576163
"m_adeuda_delta1";0,00102671923237809;0,0010278917669674;0,00104515050167224
"pc_comisiones_productos_delta1";0,00102570001642166;0,00117015048813264;0,00239434478564913
"mttarjeta_visa_debitos_automaticos_delta1";0,00102435707229271;0,00274466399842216;0,00219861660079051
"mrentabilidad__max_3";0,00102115804747816;0,000753014979297718;0,00155062328975372
"mpayroll_delta1";0,00101154993329849;0,0111666283485239;0,00118767102462755
"pc_comisiones_limite__max_12";0,00100990101140524;0,0010905756140459;0,00210360291882031
"mttarjeta_visa_debitos_automaticos__tend_12";0,00100742818053223;0,00160405452942301;0,00162283368805108
"Visa_Fvencimiento";0,00100677440916977;0,00110530340872247;0,00235443903922165
"m_adeuda__min_6";0,00100554443026718;0,00102364203090309;0,000917832167832168
"mrentabilidad";0,00100441386324522;0,00116943492897042;0,00202379142596534
"ccajas_depositos__tend_12";0,00100395685451398;0,00128712682516415;0,00219481605351171
"mcuenta_corriente__min_12";0,00100224117911549;0,00101389893960752;0,00176915475828519
"mcaja_ahorro__tend_12";0,00100193698162319;0,00200437873441112;0,00212450592885375
"mv_cconsumos__tend_12";0,000995790507748806;0,00151521911234698;0,00138910003040438
"m_adeuda__tend_6";0,000991178791384173;0,000913430353846785;0,00141950440863484
"mv_mpagominimo__tend_12";0,000987248323619543;0,00135493753258619;0,000895028884159319
"Visa_cconsumos__tend_12";0,000983939484579542;0,00134100357945324;0,0018185618729097
"Master_mfinanciacion_limite__min_12";0,000976547703720225;0,00163907675603461;0,00186226816661599
"mcuentas_saldo__max_3";0,000976040291616102;0,000850650793773625;0,00129788689571298
"cliente_edad__max_12";0,000974792074942776;0,0021853144326028;0,00211880510793554
"Master_Fvencimiento_lag1";0,000972842609778762;0,00101871111664306;0,00225372453633323
"mvr_Master_mlimitecompra__tend_12";0,000972587345917013;0,00171495831765288;0,00238674369109152
"mpasivos_margen_delta1";0,000968810898422385;0,00113743353781289;0,00194397993311037
"Master_Fvencimiento__tend_12";0,000967679047741504;0,00101315097702001;0,00223282152629979
"mvr_mpagominimo";0,000967396087296655;0,00165729423293599;0,00070880206749772
"tcallcenter__tend_12";0,00096650979434351;0,00122513571077216;0,00226132563089085
"mcomisiones_otras__max_12";0,000964983430235661;0,00110960083178057;0,00189837336576467
"pc_comisiones_limite_lag1";0,000963117512835995;0,00118401022696896;0,00205989662511402
"ctarjeta_visa_transacciones_delta1";0,000956541295652491;0,00224913485736753;0,00106415323806628
"cpayroll_trx__tend_6";0,000956170877671855;0,00150381587520404;0,0014936150805716
"mcuenta_corriente__min_3";0,000954624911597113;0,000968263051557696;0,00137959866220736
"mcuentas_saldo_lag1";0,000952961379998765;0,00140738633261678;0,00132449072666464
"mvr_msaldopesos2__tend_12";0,000946277203739012;0,00101562773438552;0,002050395256917
"cliente_edad_lag1";0,000943991242955636;0,00234959146487863;0,00204469443599878
"m_egresos__tend_3";0,000942991133599719;0,00107692365828977;0,00132259045302524
"mv_mpagospesos__max_3";0,000935394723016921;0,00041927704471443;0,000463666768014594
"cpayroll_trx__min_3";0,000934910123074222;0,00143725794013972;0,000262237762237762
"mcomisiones_otras_delta1";0,000931613764888172;0,00151321354655108;0,00209600182426269
"Master_Fvencimiento__max_12";0,000930528481937911;0,0008525399953945;0,00199908786865309
"mcomisiones__max_12";0,0009301171780917;0,00105047901668465;0,00180906050471268
"mrentabilidad_lag1";0,000928409732103322;0,00103304910969618;0,00199908786865309
"mpasivos_margen__min_3";0,000926545071333978;0,0010460085870211;0,0015867284889024
"ccallcenter_transacciones__tend_12";0,000926037867878661;0,00126237803815056;0,00220241714806932
"mrentabilidad_anual_delta1";0,000923855963182178;0,00128520784742274;0,00210740346609912
"mv_status05__tend_3";0,000922328716904782;0,000662787147203825;0,00041045910611128
"chomebanking_transacciones__tend_12";0,000922301602384031;0,00163500946227239;0,00205799635147461
"Visa_fultimo_cierre__tend_12";0,000922077594951229;0,00089642431869179;0,00207699908786865
"mactivos_margen__tend_12";0,000920960762546116;0,00114436465025696;0,00187176953481301
"pc_comisiones_productos";0,000920908758402033;0,000893873686036722;0,00188127090301003
"mdescubierto_preacordado__min_12";0,00091993076848752;0,000317759994853755;0,00011211614472484
"Visa_mpagospesos__tend_6";0,000919044330941351;0,00139913314912082;0,00189647309212527
"pc_limite_saldo__min_12";0,000913269579102646;0,00105252568708717;0,00211690483429614
"pc_comisiones_productos_lag1";0,000913182286306661;0,00115068286617829;0,00201429005776832
"mpagomiscuentas__tend_12";0,000911100322468395;0,00131768269019698;0,00170454545454545
"cpagomiscuentas__tend_12";0,000908703680973596;0,00133973772707294;0,00185656734569778
"mrentabilidad_anual__min_12";0,000901612414087442;0,00141771014301452;0,00197248403770143
"ccajas_consultas__tend_12";0,000900620363517387;0,00395975620113807;0,00212070538157495
"mcuentas_saldo__min_12";0,000899928695243351;0,00151255027922862;0,00167414107631499
"mcuenta_corriente__max_12";0,000899270714376275;0,00108470285340784;0,00207509881422925
"mcomisiones_mantenimiento_delta1";0,000898654358970959;0,00154481691516384;0,00188507145028884
"mcomisiones";0,000897874630328657;0,000809422449576818;0,00179575858923685
"mrentabilidad__min_12";0,000896459751631432;0,00117409904467038;0,0018204621465491
"Visa_mpagominimo__tend_12";0,000892120403169287;0,00456144506555648;0,00143660687138948
"cproductos__min_6";0,000891480623195361;0,0016270993539261;0,00103754940711462
"mv_fultimo_cierre__tend_6";0,000889932322587825;0,00076597832695329;0,00179765886287625
"Visa_fultimo_cierre_lag1";0,000888290551803279;0,00110852423009424;0,00195158102766798
"rt_invierte_adeuda";0,000887655923918923;0,00224891794934718;0,00105655214350867
"mvr_msaldopesos2_delta1";0,000887106075769381;0,00182705196417935;0,00189837336576467
"mcomisiones_lag1";0,000886798498854604;0,00495866102776896;0,00191737610215871
"mvr_msaldopesos2__max_12";0,000882011631815795;0,000978066683864945;0,00199908786865309
"mrentabilidad__min_3";0,00088177247363219;0,00107646611175452;0,00163803587716631
"mcomisiones_delta1";0,00087558381764158;0,00138595718753438;0,00211690483429614
"mv_Fvencimiento__max_12";0,00087538235771934;0,00105025750381833;0,00205799635147461
"mvr_msaldopesos2";0,000873691264780617;0,00154550512775616;0,00175015202189115
"pc_limite_saldo_lag1";0,000871977322753022;0,000725197189576253;0,00167604134995439
"Visa_Fvencimiento__tend_12";0,000871669940897949;0,000737925068574669;0,00193637883855275
"ccomisiones_otras_lag1";0,00087130831531517;0,000899195983953167;0,00184326543022195
"mvr_Master_mlimitecompra__max_12";0,00087063590798392;0,00150458087289656;0,00201619033140772
"ctrx_quarter__max_12";0,000870634519526849;0,00119520926885648;0,00151451809060505
"pc_limite_saldo__max_3";0,000868071386906683;0,000984989179879445;0,00163613560352691
"pc_egreso_principal__tend_6";0,000864857929170013;0,00122396317008647;0,00169504408634843
"Master_fechaalta";0,000864790997959213;0,000885251634603565;0,00181096077835208
"Visa_mpagominimo__tend_6";0,000861911314481007;0,00159059679646447;0,00113826391000304
"Visa_mfinanciacion_limite__min_12";0,000861107952920498;0,000780964812270959;0,00159242930982061
"Visa_Fvencimiento_lag1";0,000860520532102809;0,00123827130226729;0,00201238978412891
"mtarjeta_visa_consumo__tend_6";0,000859741269629015;0,000827274109604596;0,0012104743083004
"Master_fechaalta__tend_12";0,000853451384184311;0,000710090639256435;0,00181096077835208
"mvr_Visa_mlimitecompra__tend_12";0,000851008872441331;0,00135981383845818;0,00211500456065673
"mpayroll__tend_12";0,000850356356512363;0,00108259013312885;0,00114966555183946
"cproductos__min_3";0,000849447401825404;0,00160260372043821;0,00107745515354211
"Master_Fvencimiento__min_12";0,000848210253961271;0,000776716686490212;0,002050395256917
"mv_mpagospesos";0,00084207694042084;0,00114533799604144;0,000566281544542414
"pc_limite_saldo__min_6";0,000841777610120732;0,0006842620299894;0,00174635147461234
"Visa_mfinanciacion_limite__min_6";0,000840797079941911;0,000841991395062152;0,00148221343873518
"mv_status06__max_3";0,000840641820869491;1,4600328020168e-05;1,71024627546367e-05
"mcaja_ahorro_dolares__tend_12";0,00083489003553448;0,00194907783969301;0,00190027363940407
"mrentabilidad_delta1";0,000831967310286017;0,00104457258134481;0,00187747035573123
"Visa_fultimo_cierre";0,000829271668818474;0,000841555573229645;0,00183756460930374
"pc_egreso_principal_delta1";0,000828737836309931;0,00106598692311871;0,00171594709638188
"mpasivos_margen__max_3";0,000827412590052982;0,00107369752580732;0,00156012465795074
"Visa_cconsumos__max_12";0,000825665259678391;0,00118615331663085;0,00170264518090605
"chomebanking_transacciones_delta1";0,000825608661420718;0,0041475445033877;0,00186226816661599
"mrentabilidad__min_6";0,000824715525619531;0,000897180417448854;0,00163803587716631
"mcomisiones_otras";0,000820310049374147;0,000664567894814524;0,00175205229553056
"mrentabilidad_anual__tend_12";0,00081943518924357;0,00321357970060394;0,00176725448464579
"mvr_mpagospesos__max_6";0,000819090279701521;0,000663437956016651;0,000988142292490119
"ccuenta_debitos_automaticos__tend_12";0,000817613583808649;0,00234032982011638;0,00165893888719976
"cproductos__min_12";0,000815879675875589;0,0017293961765372;0,00118577075098814
"pc_comisiones_productos__tend_12";0,000814572058223622;0,00135300143498801;0,001961082395865
"Visa_mpagospesos__tend_12";0,000813614390323829;0,00131003539707774;0,00169694435998784
"Visa_Fvencimiento__max_12";0,000809639914815784;0,000936451673860041;0,00193827911219216
"ccomisiones_otras";0,00080873144262919;0,00116472377604021;0,00170644572818486
"mautoservicio";0,000807772005553083;0,00151408835428203;0,000758209182122226
"mv_status04__tend_3";0,00080542164202937;0,000686153576409141;0,000499771967163272
"Master_fultimo_cierre_lag1";0,000804559393008643;0,00121929922389004;0,00192877774399514
"mpasivos_margen_lag1";0,00080356870977645;0,000878700294823944;0,00173875038005473
"mv_Fvencimiento";0,000802018277774483;0,000949270830510679;0,001961082395865
"mvr_mpagospesos";0,00080109736398026;0,000948349183303593;0,000834220127698389
"pc_comisiones_limite__min_12";0,000800813222854451;0,00082535216555137;0,00187937062937063
"Visa_mpagospesos";0,000799551912296635;0,000790939106384792;0,00108885679537853
"mtransferencias_recibidas_delta1";0,000797700889873461;0,0008586688476195;0,0016798418972332
"mpasivos_margen__min_12";0,000796358855815353;0,000871715562762447;0,00167414107631499
"mrentabilidad__max_6";0,000796236186374918;0,00086882968037079;0,00165703861356035
"m_prestamos_totales__tend_6";0,000795621309713161;0,000823506724092455;0,00121997567649742
"mrentabilidad__tend_12";0,000793796075464586;0,00201770569539438;0,00179955913651566
"ccomisiones_otras__max_12";0,000793020374582029;0,000627180161655875;0,00165323806628154
"mactivos_margen__max_3";0,000789278111281983;0,00163914489645465;0,00162283368805108
"mpasivos_margen__min_6";0,000788922536963396;0,000991462491532964;0,00154492246883551
"pc_limite_saldo__min_3";0,000786062370850577;0,000622619330108355;0,00179385831559745
"Visa_mpagospesos__tend_3";0,000785918196570126;0,000935347188842623;0,00157342657342657
"Master_fultimo_cierre";0,000785420057743505;0,000763674717446173;0,00182996351474612
"pc_egreso_principal__tend_12";0,000783521809976946;0,00105691876663874;0,00162093341441168
"cliente_edad__tend_12";0,000782016386100655;0,00124391401836123;0,00170074490726665
"mcomisiones_otras__tend_12";0,000781897297450737;0,000896759568428379;0,00170074490726665
